,id,region,regulated_dam,primary_purpose,primary_type,height,length,volume,surface,drainage,spillway,inspection_frequency,distance_to_nearest_city,hazard,assessment,probability_of_failure,dam_repair_loss,damage_loss,business_interruption_loss,age,modification_count,years_from_modification,years_from_inspection,years_from_assessment
17,SOAD06421,Lyndrassia,Yes,Recreation,Earth,18.441,0.15,,0.0453099999999999,322.25809,,0.3333333333333333,8.09,High,Not Rated,0.0837,27.3,278.2,8.1,24.0,0,24.0,24.0,24.0
18,SOAD07112,Flumevale,No,Irrigation,Earth,7.961,0.262,9180.0,,,Controlled,0.2,,Significant,Not Rated,0.1108,219.6,160.6,38.9,107.0,0,107.0,10.0,107.0
19,SOAD07546,Lyndrassia,Yes,,,16.22,0.283,,,,,0.3333333333333333,,High,,0.0736,615.9,700.1,,,0,,,
20,SOAD07646,Flumevale,No,Other,Rockfill,4.43,0.023,,,,Uncontrolled,0.0,,Significant,Not Rated,0.1495,301.1,118.8,,126.0,0,126.0,5.0,126.0
21,SOAD07707,Lyndrassia,Yes,Tailings,,,,,2.16503,,,0.0,,High,Satisfactory,0.1036,120.3,918.2,,,0,,,7.0
22,SOAD10398,Flumevale,No,Other,Rockfill,2.932,0.027,,,,Uncontrolled,0.0,,Significant,Not Rated,0.1321,156.2,48.3,,126.0,0,126.0,13.0,126.0
23,SOAD10407,Lyndrassia,Yes,,,16.57,,,,,Uncontrolled,0.0,8.69,High,Satisfactory,0.0927,651.7,425.6,,35.0,0,35.0,5.0,5.0
24,SOAD10567,Lyndrassia,Yes,,Earth,35.081,,,,,,0.0,2.35,Significant,Satisfactory,0.114,230.5,534.4,,,0,,14.0,14.0
25,SOAD10770,Flumevale,No,Fish and Wildlife Pond,Earth,10.525,0.05,,,,Uncontrolled,1.0,,High,Not Rated,0.1203,851.5,772.2,,150.0,0,150.0,5.0,150.0
26,SOAD11005,Navaldia,No,Flood Risk Reduction,Earth,16.88,2.235,2300000.0,,,,0.2,,High,Not Available,0.0615,13.3,621.3,,59.0,0,59.0,3.0,59.0
27,SOAD11108,Flumevale,No,Flood Risk Reduction,Earth,6.122,0.307,,,,,0.2,,Significant,Not Available,0.1411,256.9,461.9,,20.0,0,20.0,7.0,20.0
28,SOAD11302,Lyndrassia,Yes,Recreation,Earth,14.782,0.153,,0.04925,,Uncontrolled,0.0,,High,Unsatisfactory,0.1387,30.2,611.4,5.5,29.0,0,29.0,29.0,29.0
29,SOAD11500,Lyndrassia,Yes,,Earth,15.276,,,0.14381,,,0.0,6.58,High,Unsatisfactory,0.1316,6.8,320.1,,,0,,,
30,SOAD12360,Lyndrassia,Yes,Recreation,Earth,16.119,0.4,,0.04728,,Uncontrolled,0.0,0.0,High,Unsatisfactory,0.1421,30.9,948.3,6.5,43.0,0,43.0,43.0,43.0
31,SOAD12606,Lyndrassia,Yes,Irrigation,Earth,15.807,0.317,,0.44916,,Uncontrolled,0.3333333333333333,87.32,High,Not Rated,0.1011,141.8,215.8,26.2,22.0,0,22.0,4.0,22.0
32,SOAD12607,Lyndrassia,Yes,Recreation,Earth,17.347,,,0.06895,,Uncontrolled,0.0,,High,Unsatisfactory,0.1338,7.6,732.8,4.3,,0,,,
33,SOAD12910,Navaldia,Yes,,,,,,,,,0.5,,Significant,Unsatisfactory,0.1771,453.8,472.6,,,0,,,
34,SOAD13361,Flumevale,No,Debris Control,Timber Crib,12.253,0.138,,,,Uncontrolled,0.0,,Significant,Not Rated,0.1454,461.4,341.7,,84.0,1,13.0,10.0,84.0
35,SOAD13714,Lyndrassia,Yes,Recreation,Earth,14.26,0.167,,0.06304,,Uncontrolled,0.3333333333333333,,High,Unsatisfactory,0.1413,39.5,576.5,3.6,37.0,0,37.0,37.0,37.0
36,SOAD14020,Lyndrassia,Yes,Recreation,Earth,13.282,0.145,,0.0394,,Uncontrolled,0.0,21.46,High,Unsatisfactory,0.1369,17.8,250.2,6.5,,0,,,
37,SOAD14215,Navaldia,Yes,,,,,,,5.32658,,0.5,,Significant,Not Rated,0.1373,68.1,175.4,,,0,,,
38,SOAD14437,Navaldia,Yes,,Earth,9.103,0.067,,,5.32658,,0.5,,Significant,Fair,0.1439,333.9,179.7,,61.0,0,61.0,7.0,61.0
39,SOAD14563,Flumevale,No,Other,Rockfill,3.858,0.03,,,,Uncontrolled,0.0,,Significant,Not Rated,0.1324,223.3,368.4,,126.0,0,126.0,13.0,126.0
40,SOAD14661,Lyndrassia,Yes,Recreation,Earth,14.285,,,0.08668,,,0.0,,High,Unsatisfactory,0.1388,10.0,755.7,3.7,,0,,,
41,SOAD14832,Lyndrassia,Yes,Recreation,Earth,13.691,0.225,,0.17336,,Uncontrolled,0.3333333333333333,,High,Unsatisfactory,0.1534,26.0,495.2,5.2,23.0,0,23.0,23.0,23.0
42,SOAD15410,Navaldia,Yes,Other,Earth,,,,,10.65316,,0.5,,Significant,Poor,0.1527,39.4,421.5,,,0,,4.0,
43,SOAD15761,Lyndrassia,No,Recreation,Earth,40.912,0.162,294000.0,,,Uncontrolled,1.0,17.39,High,Satisfactory,0.0874,910.7,208.7,4.1,44.0,0,44.0,4.0,6.0
44,SOAD16079,Lyndrassia,Yes,Recreation,Earth,13.32,0.197,,0.03349,,Uncontrolled,0.0,,High,Unsatisfactory,0.1325,15.9,952.6,7.6,,0,,,
45,SOAD16467,Lyndrassia,Yes,Recreation,Earth,13.752,0.15,,0.06304,,Uncontrolled,0.3333333333333333,,High,Unsatisfactory,0.1381,33.2,932.1,8.7,44.0,0,44.0,44.0,44.0
46,SOAD16854,Lyndrassia,Yes,Recreation,Earth,13.08,0.292,,0.05516,,Uncontrolled,0.0,13.52,High,Unsatisfactory,0.1368,18.2,454.3,6.7,39.0,0,39.0,39.0,39.0
47,SOAD17206,Lyndrassia,Yes,Other,Earth,12.642,0.133,,0.08077,,Uncontrolled,0.3333333333333333,,High,Not Rated,0.0951,27.1,863.9,,23.0,0,23.0,4.0,23.0
48,SOAD17553,Navaldia,Yes,Recreation,Earth,3.419,,,,2.66329,,0.5,,Significant,Not Rated,0.1362,271.6,123.8,5.6,,0,,,
49,SOAD17601,Lyndrassia,Yes,Recreation,Earth,14.216,0.175,,0.03743,,Uncontrolled,0.0,1.54,High,Unsatisfactory,0.1175,12.7,552.7,9.5,13.0,0,13.0,13.0,13.0
50,SOAD17642,Lyndrassia,Yes,,,14.396,,,,,,0.3333333333333333,9.43,High,Not Rated,0.0792,939.5,181.0,,7.0,0,7.0,3.0,6.0
51,SOAD18020,Lyndrassia,Yes,,Earth,28.472,,,,,,0.0,2.43,Significant,Satisfactory,0.1325,375.1,318.3,,,0,,14.0,14.0
52,SOAD18122,Flumevale,No,Other,Earth,13.878,0.073,,,,Uncontrolled,1.0,0.16,High,Not Rated,0.102,925.1,619.9,,76.0,0,76.0,5.0,76.0
53,SOAD18532,Navaldia,Yes,Recreation,Earth,,,,,,,0.5,,Significant,Not Rated,0.1365,429.3,42.4,3.0,,0,,,
54,SOAD19679,Lyndrassia,Yes,Recreation,Earth,14.637,0.225,,0.11426,,Uncontrolled,0.3333333333333333,4.94,High,Not Rated,0.111,30.4,927.7,4.9,,1,17.0,,
55,SOAD00531,Flumevale,No,Hydroelectric,Concrete,5.452,2.467,,,,,1.0,16.83,Significant,Satisfactory,0.1362,441.6,446.0,78.2,37.0,0,37.0,2.0,2.0
56,SOAD08570,Flumevale,No,,Concrete,3.451,,,0.00788,,,1.0,,Significant,Satisfactory,0.1192,8.6,196.4,,,0,,2.0,2.0
57,SOAD09546,Flumevale,No,Hydroelectric,,0.346,,,,,,1.0,,Significant,Not Available,0.1111,112.7,257.4,,37.0,0,37.0,5.0,37.0
58,SOAD14594,Navaldia,Yes,Recreation,Earth,2.825,0.067,,0.06501,13.31645,,0.5,,Significant,Poor,0.1398,6.7,235.1,5.2,,0,,7.0,
59,SOAD15319,Flumevale,No,Hydroelectric,Rockfill,12.066,,,,35962.40487,Uncontrolled,1.0,75.25,Significant,Satisfactory,0.1101,171.3,216.0,55.9,60.0,0,60.0,2.0,2.0
60,SOAD16049,Navaldia,Yes,Debris Control,Gravity,4.704,0.027,,,2.66329,,1.0,,High,Fair,0.1113,662.4,805.4,,59.0,0,59.0,5.0,59.0
61,SOAD19425,Flumevale,No,Flood Risk Reduction,Earth,27.419,0.347,220000.0,0.00788,,,1.0,6.32,High,Satisfactory,0.1104,16.4,201.5,,54.0,0,54.0,2.0,2.0
62,SOAD02827,Navaldia,Yes,Recreation,Earth,3.001,0.163,5550.0,0.00591,,Uncontrolled,0.0,,High,Fair,0.0916,40.3,690.1,4.6,,0,,2.0,2.0
63,SOAD04177,Navaldia,Yes,Flood Risk Reduction,Earth,7.397,0.025,,,2.66329,,0.5,,Significant,Satisfactory,0.121,185.5,218.2,,26.0,1,20.0,7.0,26.0
64,SOAD08152,Navaldia,Yes,,,3.452,0.047,,,,Uncontrolled,0.2,,High,Fair,0.0753,611.0,934.6,,,0,,4.0,4.0
65,SOAD10896,Navaldia,Yes,Recreation,Earth,3.556,0.06,,0.00394,2.66329,,0.5,,Significant,Satisfactory,0.1378,28.1,103.3,4.6,52.0,0,52.0,8.0,52.0
66,SOAD12764,Lyndrassia,Yes,Flood Risk Reduction,Earth,13.925,0.1,30000.0,0.00788,,Uncontrolled,0.5,7.74,High,Satisfactory,0.0905,10.8,129.6,,36.0,1,36.0,5.0,18.0
67,SOAD17150,Navaldia,Yes,Flood Risk Reduction,Earth,6.819,0.067,,,,Uncontrolled,0.2,0.16,High,Fair,0.0985,39.2,851.5,,77.0,0,77.0,5.0,4.0
68,SOAD17354,Navaldia,Yes,,Earth,10.606,0.053,,0.02364,,Uncontrolled,0.2,1.67,Significant,Fair,0.1097,8.0,865.3,,17.0,0,17.0,3.0,3.0
69,SOAD02782,Navaldia,Yes,Flood Risk Reduction,Earth,4.227,0.083,,0.00591,2.66329,,0.5,,Significant,Fair,0.1357,47.1,418.9,,34.0,0,34.0,6.0,34.0
70,SOAD14624,Navaldia,Yes,Flood Risk Reduction,Earth,3.41,0.063,,,2.66329,,0.5,,Significant,Fair,0.1433,373.8,255.4,,40.0,0,40.0,5.0,40.0
71,SOAD15975,Navaldia,No,,Earth,5.836,0.027,,0.00394,,Uncontrolled,0.0,,Significant,Not Rated,0.1649,13.3,322.8,,,0,,16.0,11.0
72,SOAD00979,Lyndrassia,Yes,Recreation,Earth,14.781,0.108,,,,,0.0,1.69,High,,0.1556,479.6,579.1,6.2,29.0,0,29.0,29.0,29.0
73,SOAD03833,Flumevale,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,3.977,0.115,2773.0,0.00788,,Uncontrolled,0.5,11.26,Significant,Satisfactory,0.1354,39.8,121.9,,42.0,1,29.0,5.0,5.0
74,SOAD09276,Lyndrassia,Yes,Other,Earth,22.852,0.1,43000.0,0.00788,,Uncontrolled,0.5,,Significant,Satisfactory,0.114,35.1,293.8,,32.0,1,28.0,2.0,18.0
75,SOAD13160,Navaldia,Yes,,Earth,2.784,0.133,,0.01379,,Uncontrolled,0.5,1.61,High,Poor,0.1141,36.1,107.1,,,0,,4.0,3.0
76,SOAD14182,Flumevale,No,Tailings,Earth,8.658,0.267,,,,,0.0,4.75,High,Not Available,0.1235,844.9,374.4,,,0,,,
77,SOAD14607,Navaldia,No,,Earth,5.355,0.123,,0.00788,,Uncontrolled,0.0,,Significant,Not Rated,0.1451,7.9,446.3,,60.0,0,60.0,18.0,11.0
78,SOAD15607,Navaldia,Yes,Flood Risk Reduction,Earth,6.12,0.04,,,2.66329,,0.5,,Significant,Satisfactory,0.1106,186.3,161.6,,33.0,0,33.0,6.0,33.0
79,SOAD18799,Navaldia,Yes,Flood Risk Reduction,Earth,3.336,0.123,,,2.66329,,1.0,,High,Satisfactory,0.1017,532.3,925.3,,,0,,5.0,
80,SOAD01460,Navaldia,Yes,,Earth,9.399,0.133,,,2.66329,Uncontrolled,0.5,,High,Poor,0.13,41.8,596.3,,77.0,0,77.0,5.0,4.0
81,SOAD02312,Flumevale,No,Other,Earth,10.679,0.08,,,,,0.0,1.67,Significant,Not Available,0.1661,306.3,365.5,,,0,,,
82,SOAD07202,Navaldia,No,"Fire Protection, Stock, Or Small Fish Pond",Earth,4.746,0.11,,0.00788,,Uncontrolled,0.2,,Significant,Not Rated,0.0923,19.0,308.6,,35.0,1,34.0,16.0,11.0
83,SOAD10724,Navaldia,Yes,,,4.217,0.143,,0.00788,,Uncontrolled,0.2,,Significant,Fair,0.1184,7.5,369.0,,4.0,0,4.0,4.0,4.0
84,SOAD14722,Navaldia,Yes,Flood Risk Reduction,Earth,3.556,0.053,,,7.98987,,1.0,,High,Satisfactory,0.1039,625.3,716.1,,27.0,0,27.0,5.0,27.0
85,SOAD20423,Navaldia,Yes,Flood Risk Reduction,Earth,3.25,0.117,,,2.66329,,1.0,,High,Fair,0.096,632.1,897.7,,31.0,0,31.0,4.0,31.0
86,SOAD00063,Navaldia,No,Recreation,Earth,3.509,,,,,,0.0,,Significant,Not Rated,0.1722,36.1,42.1,5.5,43.0,0,43.0,16.0,11.0
87,SOAD01247,Flumevale,No,Water Supply,Earth,7.299,0.253,,,,,0.0,1.67,Significant,Not Available,0.1451,312.7,887.2,47.5,,0,,,
88,SOAD04234,Navaldia,Yes,Flood Risk Reduction,Earth,4.295,0.1,,,,Uncontrolled,0.2,0.0,High,Fair,0.0574,42.9,263.9,,77.0,0,77.0,5.0,4.0
89,SOAD05848,Navaldia,Yes,Recreation,Earth,4.178,0.067,,0.00591,2.66329,,0.5,,Significant,Poor,0.1479,25.0,424.5,6.3,52.0,0,52.0,8.0,52.0
90,SOAD07932,Lyndrassia,Yes,Other,Earth,14.982,0.07,,0.00394,,Uncontrolled,0.5,9.2,High,Satisfactory,0.1094,9.9,248.4,,37.0,1,37.0,2.0,17.0
91,SOAD12960,Navaldia,Yes,Water Supply,Earth,6.807,0.067,,0.00788,10.65316,,1.0,,High,Poor,0.1269,35.4,874.2,17.0,110.0,0,110.0,5.0,110.0
92,SOAD13126,Navaldia,Yes,,,5.159,0.117,,0.01773,,Uncontrolled,0.2,,High,Fair,0.0779,37.4,797.4,,,0,,4.0,4.0
93,SOAD20522,Lyndrassia,Yes,"Fire Protection, Stock, Or Small Fish Pond",Earth,15.395,0.073,,0.00197,,Uncontrolled,0.2,9.51,Significant,Not Rated,0.1375,28.9,162.5,,36.0,0,36.0,4.0,18.0
94,SOAD20772,Navaldia,Yes,Flood Risk Reduction,,8.209,0.083,,,,Uncontrolled,0.2,,High,Fair,0.074,37.9,914.9,,91.0,0,91.0,5.0,5.0
95,SOAD01504,Navaldia,Yes,,,3.262,0.173,,0.01576,,Uncontrolled,0.2,,High,Fair,0.087,26.0,594.1,,,0,,6.0,6.0
96,SOAD05174,Navaldia,Yes,Flood Risk Reduction,Earth,8.942,0.09,,,,Uncontrolled,0.2,0.16,High,Fair,0.0881,27.2,305.0,,,0,,5.0,4.0
97,SOAD06379,Navaldia,No,,Earth,7.121,0.024,,0.00591,,Uncontrolled,0.0,,Significant,Not Rated,0.111,23.1,392.8,,,0,,16.0,11.0
98,SOAD09118,Navaldia,Yes,Recreation,Earth,7.888,0.1,,0.02955,23.96961,Uncontrolled,0.5,,Significant,Satisfactory,0.1212,5.9,71.8,8.3,,1,23.0,5.0,
99,SOAD10640,Navaldia,Yes,Flood Risk Reduction,Earth,3.884,0.058,4140.0,0.00788,,Uncontrolled,0.2,,Significant,Fair,0.1218,9.4,124.5,,16.0,0,16.0,4.0,3.0
100,SOAD11247,Navaldia,Yes,Recreation,Earth,3.242,0.04,,0.02167,2.66329,,0.5,,Significant,Fair,0.1364,6.1,252.1,6.0,89.0,0,89.0,8.0,89.0
101,SOAD11707,Navaldia,No,,Earth,5.459,0.039,,0.00788,,Uncontrolled,0.0,,Significant,Not Rated,0.1546,32.1,400.2,,,0,,16.0,11.0
102,SOAD11867,Flumevale,Yes,Water Supply,Earth,4.43,0.083,,0.00788,,Uncontrolled,0.5,11.38,Significant,Fair,0.1314,18.3,151.7,15.0,26.0,1,25.0,12.0,12.0
103,SOAD11892,Flumevale,No,Water Supply,,5.94,0.032,,,,,0.0,1.63,High,Not Available,0.0765,719.6,565.6,15.9,,0,,,
104,SOAD15152,Flumevale,Yes,Flood Risk Reduction,Earth,11.071,0.095,21140.0,0.00788,,Uncontrolled,1.0,,High,Fair,0.1114,43.7,816.2,,20.0,0,20.0,5.0,5.0
105,SOAD15867,Navaldia,Yes,Recreation,Earth,5.156,0.183,,0.03349,2.66329,,1.0,,High,Fair,0.1167,15.5,887.5,8.2,43.0,1,23.0,4.0,43.0
106,SOAD02714,Flumevale,No,Water Supply,Earth,13.753,0.033,,,,,0.0,7.67,High,Not Available,0.1083,672.7,452.4,51.7,,0,,,
107,SOAD03129,Lyndrassia,Yes,,Earth,16.055,0.053,,0.00394,,,0.0,,Significant,Satisfactory,0.1143,37.2,379.4,,26.0,1,26.0,4.0,18.0
108,SOAD04965,Navaldia,No,,,4.496,0.07,,,,Uncontrolled,0.0,,Significant,Fair,0.1312,127.5,319.7,,,0,,3.0,2.0
109,SOAD05372,Flumevale,Yes,Irrigation,Earth,5.634,0.08,3550.0,0.00788,7.98987,Uncontrolled,0.5,16.56,Significant,Fair,0.1503,8.1,260.9,24.6,65.0,0,65.0,4.0,4.0
110,SOAD05893,Navaldia,Yes,Other,Earth,7.354,0.048,,0.00788,7.98987,,0.5,,Significant,Not Rated,0.167,17.2,74.7,,,0,,8.0,
111,SOAD11286,Flumevale,Yes,Recreation,Earth,3.498,0.133,,0.00788,7.98987,Uncontrolled,0.5,1.59,Significant,Fair,0.1333,11.7,704.8,4.9,59.0,0,59.0,3.0,3.0
112,SOAD12488,Navaldia,No,Other,Earth,4.199,0.043,,0.00788,,Uncontrolled,0.0,,Significant,Not Rated,0.1619,44.7,473.7,,,0,,16.0,11.0
113,SOAD18907,Navaldia,Yes,Flood Risk Reduction,Earth,4.068,0.125,,,2.66329,,1.0,,High,Satisfactory,0.085,862.4,828.4,,39.0,0,39.0,4.0,39.0
114,SOAD00892,Navaldia,Yes,Flood Risk Reduction,Earth,4.974,0.147,,,2.66329,,0.5,,Significant,Not Rated,0.1355,310.9,31.4,,32.0,0,32.0,7.0,32.0
115,SOAD11305,Navaldia,Yes,Recreation,Earth,5.32,0.067,,0.00591,7.98987,,1.0,,High,Satisfactory,0.0907,42.2,713.7,5.9,,0,,5.0,
116,SOAD14530,Navaldia,Yes,Flood Risk Reduction,Earth,3.487,0.16,,,2.66329,,0.5,,Significant,Fair,0.1276,388.0,302.4,,46.0,0,46.0,6.0,46.0
117,SOAD15004,Navaldia,Yes,Recreation,Earth,6.437,0.05,,0.00985,2.66329,,1.0,,High,Fair,0.1056,12.8,805.9,7.1,,0,,4.0,
118,SOAD15153,Navaldia,Yes,Recreation,Earth,6.847,0.067,,0.01182,2.66329,,0.5,,Significant,Satisfactory,0.1042,43.1,350.0,8.7,,0,,8.0,
119,SOAD15297,Navaldia,Yes,Recreation,Earth,3.795,0.037,,0.01576,2.66329,,0.5,,Significant,Fair,0.1444,27.9,276.7,6.6,,0,,5.0,
120,SOAD16517,Lyndrassia,No,,Earth,10.489,0.027,,0.00591,21.30632,,0.0,0.0,Significant,Not Rated,0.1392,39.4,287.2,,,0,,,
121,SOAD20131,Navaldia,Yes,Recreation,Earth,3.533,0.15,,0.01773,,Uncontrolled,0.2,1.61,High,Not Rated,0.1054,43.2,904.3,4.7,,1,34.0,9.0,4.0
122,SOAD00226,Navaldia,Yes,Flood Risk Reduction,Earth,8.065,0.083,,0.00985,,,0.5,,Significant,Satisfactory,0.122,18.4,339.5,,60.0,0,60.0,7.0,60.0
123,SOAD01190,Navaldia,Yes,Recreation,Earth,5.321,0.133,,0.00788,,Uncontrolled,0.2,,High,Not Rated,0.1004,9.5,590.0,3.1,57.0,1,50.0,10.0,5.0
124,SOAD04969,Navaldia,Yes,,,3.854,0.073,,0.01773,,Uncontrolled,0.5,,Significant,Unsatisfactory,0.1767,14.6,169.9,,,0,,3.0,2.0
125,SOAD06606,Navaldia,Yes,Flood Risk Reduction,Earth,9.137,0.067,,,2.66329,,0.5,,Significant,Satisfactory,0.1135,217.4,441.6,,,0,,7.0,
126,SOAD09548,Navaldia,Yes,,Concrete,4.184,0.03,,0.01773,2.66329,Uncontrolled,0.2,,High,Satisfactory,0.0648,39.9,900.3,,,0,,4.0,3.0
127,SOAD10931,Navaldia,Yes,Water Supply,Earth,8.504,0.055,,0.01773,10.65316,,1.0,,High,Poor,0.1244,41.7,670.2,16.5,110.0,0,110.0,5.0,110.0
128,SOAD11393,Navaldia,Yes,Flood Risk Reduction,Earth,6.931,0.09,,,,Uncontrolled,0.2,0.16,High,Fair,0.0739,5.1,128.3,,77.0,0,77.0,5.0,4.0
129,SOAD16190,Lyndrassia,Yes,,Earth,19.243,0.053,,0.00394,,Uncontrolled,0.3333333333333333,0.1,High,Satisfactory,0.0811,26.7,137.0,,55.0,1,14.0,5.0,13.0
130,SOAD16710,Navaldia,Yes,Recreation,Stone,8.023,0.05,,0.06501,47.93922,,1.0,,High,Fair,0.0816,22.7,612.4,7.2,139.0,0,139.0,4.0,139.0
131,SOAD19959,Navaldia,Yes,Recreation,Earth,5.04,0.083,,,2.66329,,0.5,,Significant,Fair,0.1325,124.5,308.9,3.9,,0,,8.0,
132,SOAD00463,Navaldia,Yes,Flood Risk Reduction,Earth,3.213,0.028,,,2.66329,,0.5,,Significant,Fair,0.1296,78.2,288.6,,,0,,9.0,
133,SOAD01251,Navaldia,Yes,Flood Risk Reduction,Concrete,5.496,0.167,,,,Uncontrolled,0.0,,Significant,Fair,0.1507,19.3,311.1,,30.0,0,30.0,7.0,6.0
134,SOAD01374,Navaldia,Yes,Flood Risk Reduction,Earth,3.889,0.117,,,,Uncontrolled,0.5,,Significant,Fair,0.1215,451.1,348.9,,,1,22.0,8.0,
135,SOAD03552,Navaldia,Yes,Recreation,Earth,4.689,0.07,,0.01576,5.32658,,0.5,,Significant,Poor,0.137,18.6,32.5,6.1,43.0,0,43.0,8.0,43.0
136,SOAD05302,Navaldia,Yes,Recreation,Earth,6.739,0.073,,0.01773,,Uncontrolled,0.2,7.18,Significant,Not Rated,0.1423,27.0,135.5,7.5,39.0,0,39.0,9.0,4.0
137,SOAD06430,Navaldia,Yes,Other,,6.183,,,,,,0.5,,Significant,Not Rated,0.1592,342.4,186.7,,,0,,7.0,
138,SOAD08078,Navaldia,Yes,Flood Risk Reduction,Earth,6.5,0.2,,,13.31645,,0.5,,Significant,Not Rated,0.1676,188.6,94.0,,,0,,7.0,
139,SOAD08735,Lyndrassia,No,,Earth,17.885,0.14,,0.07486,868.23254,Uncontrolled,1.0,,High,Poor,0.1245,46.5,512.9,,,0,,4.0,6.0
140,SOAD08991,Navaldia,Yes,Flood Risk Reduction,Earth,4.186,0.133,,,2.66329,,0.5,,Significant,Poor,0.1478,460.0,314.3,,,0,,6.0,
141,SOAD10981,Navaldia,Yes,,,5.126,0.092,,0.01182,,Uncontrolled,0.2,,High,Fair,0.0956,15.6,865.9,,,0,,4.0,4.0
142,SOAD14049,Lyndrassia,Yes,Recreation,Earth,6.984,0.127,,,,,0.0,71.71,Significant,,0.1273,249.2,191.3,4.9,62.0,0,62.0,62.0,62.0
143,SOAD14340,Navaldia,Yes,,,4.179,0.092,,0.01182,,Uncontrolled,0.2,,High,Fair,0.1023,17.7,866.7,,,0,,4.0,4.0
144,SOAD16126,Lyndrassia,No,Recreation,Earth,6.16,,,0.00788,727.07817,Uncontrolled,0.0,1.66,High,Not Rated,0.0874,17.0,667.1,7.3,35.0,0,35.0,35.0,35.0
145,SOAD18953,Navaldia,Yes,,,3.234,0.183,,0.02167,,Uncontrolled,0.2,,High,Fair,0.0887,6.4,827.7,,,0,,3.0,2.0
146,SOAD01088,Lyndrassia,No,,Earth,7.251,,,0.00788,266.329,,0.0,8.14,High,Not Rated,0.107,30.9,199.1,,,0,,,
147,SOAD02260,Navaldia,Yes,Other,Earth,3.844,0.053,,0.06107,7.98987,Uncontrolled,0.2,,Significant,Fair,0.1067,26.3,473.8,,45.0,0,45.0,3.0,2.0
148,SOAD02426,Navaldia,Yes,,,5.107,0.06,,0.00788,,Uncontrolled,0.2,,Significant,Fair,0.0978,7.0,106.8,,22.0,0,22.0,3.0,2.0
149,SOAD03198,Navaldia,Yes,Recreation,Earth,7.737,0.087,,0.01379,2.66329,,1.0,,High,Fair,0.0935,16.7,579.3,6.7,139.0,0,139.0,6.0,139.0
