,regulated_dam,height,length,volume,surface,drainage,inspection_frequency,distance_to_nearest_city,hazard,probability_of_failure,age,modification_count,years_from_modification,years_from_inspection,years_from_assessment,region_Flumevale,region_Lyndrassia,region_Navaldia,primary_purpose_Debris Control,"primary_purpose_Fire Protection, Stock, Or Small Fish Pond",primary_purpose_Fish and Wildlife Pond,primary_purpose_Flood Risk Reduction,primary_purpose_Grade Stabilization,primary_purpose_Hydroelectric,primary_purpose_Irrigation,primary_purpose_Navigation,primary_purpose_No Rocord,primary_purpose_Other,primary_purpose_Recreation,primary_purpose_Tailings,primary_purpose_Water Supply,primary_type_Arch,primary_type_Buttress,primary_type_Concrete,primary_type_Earth,primary_type_Gravity,primary_type_Masonry,primary_type_Multi-Arch,primary_type_Other,primary_type_Rockfill,primary_type_Roller-Compacted Concrete,primary_type_Stone,primary_type_Timber Crib,spillway_Controlled,spillway_No Rocord,spillway_Uncontrolled,assessment_Fair,assessment_Not Available,assessment_Not Rated,assessment_Poor,assessment_Satisfactory,assessment_Unsatisfactory
3982,0.3333333333333333,0.5548937239028202,0.39878088679141727,0.5449132804776299,0.20236637535091687,0.08151562070794777,0.0833333333333333,0.11679620034542315,0.3333333333333333,0.0452,0.26181818181818184,0.0,0.26181818181818184,0.04716981132075472,0.06159420289855072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19986,0.6666666666666666,0.6645418787297285,0.4489309111964905,0.6017841185483972,0.4619877533722392,0.2679254710790541,0.5,0.1697322970639033,0.6666666666666666,0.0866,0.4109090909090909,0.0,0.4109090909090909,0.03773584905660377,0.0036231884057971015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8241,0.6666666666666666,0.58557688052267,0.35513114647424837,0.5801851894965867,0.24480434382464097,0.0,0.5,0.0,0.6666666666666666,0.1077,0.21454545454545457,0.0,0.20727272727272728,0.04245283018867925,0.025362318840579712,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11110,0.3333333333333333,0.40736889117967245,0.4226509075346852,0.5555413902410116,0.3608023563944352,0.23883645172405887,1.0,0.043782383419689125,0.3333333333333333,0.0833,0.37454545454545457,0.0,0.37454545454545457,0.04716981132075472,0.025362318840579712,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6771,0.3333333333333333,0.48032943714440335,0.4469640000794239,0.5555413902410116,0.23813130061891705,0.4099815109222309,0.0,0.0,0.3333333333333333,0.1043,0.21454545454545457,0.0,0.20727272727272728,0.18867924528301885,0.036231884057971016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12740,0.6666666666666666,0.5167708175634125,0.4469640000794239,0.5555413902410116,0.29333432344799665,0.49524388214032017,0.0,0.17832469775474954,0.6666666666666666,0.1132,0.31272727272727274,0.0,0.31272727272727274,0.4433962264150943,0.31521739130434784,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3839,0.3333333333333333,0.46910177049195845,0.4821731770328108,0.562334068903472,0.14558993887006705,0.23883645172405887,0.0833333333333333,0.0,0.3333333333333333,0.057,0.4036363636363636,0.0,0.4036363636363636,0.18396226415094338,0.40579710144927533,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1448,0.3333333333333333,0.4832861909069291,0.4469640000794239,0.5555413902410116,0.17958226411884326,0.3467178975077264,0.0,0.0,0.3333333333333333,0.0971,0.18181818181818182,0.0,0.18181818181818182,0.27358490566037735,0.1847826086956522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14599,0.6666666666666666,0.50771309669425,0.44204553058805107,0.5555413902410116,0.3251722029889103,0.08151562070794777,0.5,0.043782383419689125,0.6666666666666666,0.1244,0.19272727272727275,0.0,0.19272727272727275,0.04716981132075472,0.1956521739130435,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15065,0.6666666666666666,0.5557870871356227,0.4855018503816384,0.5555413902410116,0.30938053370135526,0.0,0.25,0.0635146804835924,0.6666666666666666,0.0793,0.15636363636363637,0.0,0.15636363636363637,0.04245283018867925,0.06159420289855072,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2118,1.0,0.4024515202088978,0.3849455571168503,0.5555413902410116,0.2830700335326898,0.19031594777754485,0.0,0.10086355785837652,1.0,0.1752,0.26181818181818184,0.0,0.26181818181818184,0.1981132075471698,0.2644927536231884,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2299,0.3333333333333333,0.4832351177001886,0.4917861279970762,0.5237067796416419,0.2830700335326898,0.23883645172405887,0.0,0.043782383419689125,0.3333333333333333,0.1151,0.17090909090909093,0.0,0.17090909090909093,0.25943396226415094,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16989,0.6666666666666666,0.5414340840407997,0.5685183350617719,0.5898642515423616,0.3947635435680097,0.23883645172405887,0.5,0.006649395509499136,0.6666666666666666,0.082,0.03636363636363637,0.0,0.03636363636363637,0.04716981132075472,0.010869565217391304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10369,0.3333333333333333,0.35173873731159266,0.427812415149353,0.5555413902410116,0.2830700335326898,0.23883645172405887,0.0,0.014291882556131261,0.3333333333333333,0.1056,0.21454545454545457,0.0,0.20727272727272728,0.18867924528301885,0.036231884057971016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5290,0.3333333333333333,0.48001660102063076,0.4469640000794239,0.5555413902410116,0.22536624626356155,0.4273031146072732,0.0,0.15924006908462868,0.3333333333333333,0.0592,0.2109090909090909,0.0,0.2109090909090909,0.3113207547169811,0.213768115942029,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2808,0.3333333333333333,0.4118004224763529,0.4615381762855212,0.4978406394889874,0.2830700335326898,0.0,0.0,0.01381692573402418,0.3333333333333333,0.0939,0.19636363636363638,0.0,0.19636363636363638,0.29245283018867924,0.1992753623188406,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
18455,0.6666666666666666,0.5206650295293315,0.5137708368554675,0.5555413902410116,0.43166532480679665,0.15429189145646963,0.1,0.043782383419689125,0.6666666666666666,0.0692,0.2509090909090909,0.0,0.2509090909090909,0.04245283018867925,0.007246376811594202,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
19748,0.6666666666666666,0.4516722718066698,0.7082945694867088,0.5555413902410116,0.5511016751129095,0.4447442389696388,0.1,0.014291882556131261,0.6666666666666666,0.1095,0.2109090909090909,0.0,0.2109090909090909,0.07547169811320754,0.014492753623188406,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13041,0.3333333333333333,0.45528764012950096,0.5008257165066046,0.5555413902410116,0.38545006710232027,0.11941822586202941,0.1,0.043782383419689125,0.3333333333333333,0.0407,0.2,0.0,0.2,0.05660377358490566,0.2028985507246377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2895,0.3333333333333333,0.3829957562916507,0.40687655073360873,0.5555413902410116,0.2830700335326898,0.23883645172405887,0.0,0.043782383419689125,0.3333333333333333,0.0791,0.22181818181818183,0.0,0.22181818181818183,0.22641509433962262,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19495,0.6666666666666666,0.6755875714072267,0.4736558455437872,0.5423694366800201,0.4419095543730994,0.17792074926795498,0.5,0.0494818652849741,0.6666666666666666,0.0822,0.2509090909090909,0.5,0.09818181818181818,0.04245283018867925,0.007246376811594202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
8966,0.3333333333333333,0.4024807522312246,0.4441301739297132,0.5555413902410116,0.2680583491757894,0.23883645172405887,0.0,0.043782383419689125,0.3333333333333333,0.1132,0.2,0.0,0.2,0.2971698113207547,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9364,0.3333333333333333,0.44703733501074533,0.43546024759295265,0.5555413902410116,0.2649461052075718,0.23883645172405887,0.0,0.043782383419689125,0.3333333333333333,0.1174,0.20727272727272728,0.0,0.20727272727272728,0.30660377358490565,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16426,0.6666666666666666,0.4535947370267494,0.62500464132004,0.5555413902410116,0.3517417745389762,0.23883645172405887,0.1,0.043782383419689125,0.6666666666666666,0.0769,0.08363636363636363,0.0,0.08363636363636363,0.07547169811320754,0.014492753623188406,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
12948,0.3333333333333333,0.3185030546703722,0.36937029271022503,0.5555413902410116,0.38851279624461493,0.23883645172405887,0.0,0.021070811744386873,0.3333333333333333,0.1038,0.4036363636363636,0.0,0.4036363636363636,0.2452830188679245,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12023,0.3333333333333333,0.5419752525925658,0.4372676664547164,0.5555413902410116,0.27664222336555466,0.23883645172405887,0.0,0.043782383419689125,0.3333333333333333,0.0986,0.21454545454545457,0.0,0.21454545454545457,0.3160377358490566,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4123,0.3333333333333333,0.4515881227539572,0.5137708368554675,0.5555413902410116,0.24042704599317896,0.23883645172405887,0.0,0.043782383419689125,0.3333333333333333,0.0868,0.22181818181818183,0.0,0.22181818181818183,0.32547169811320753,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14062,0.3333333333333333,0.41254006568145174,0.35146969113135607,0.4375886179317531,0.3988760808189552,0.14438403363796587,1.0,0.043782383419689125,0.3333333333333333,0.0627,0.3781818181818182,0.0,0.3781818181818182,0.04245283018867925,0.025362318840579712,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15874,0.3333333333333333,0.48403326624148224,0.427812415149353,0.5555413902410116,0.359577591152239,0.23883645172405887,0.0,0.043782383419689125,0.3333333333333333,0.1228,0.24727272727272726,0.0,0.24727272727272726,0.3584905660377358,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6351,0.3333333333333333,0.48776319664018897,0.4469640000794239,0.5555413902410116,0.24042704599317896,0.5299299402630011,0.0,0.1660621761658031,0.3333333333333333,0.0983,0.23636363636363636,0.0,0.23636363636363636,0.3443396226415094,0.2391304347826087,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2024,0.3333333333333333,0.5271370294024442,0.4226509075346852,0.5246062282720667,0.1983644883971025,0.08151562070794777,0.0,0.0,0.3333333333333333,0.0857,0.23636363636363636,0.0,0.23636363636363636,0.18867924528301885,0.007246376811594202,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10230,0.3333333333333333,0.6697542885821921,0.49362840346110015,0.5555413902410116,0.2830700335326898,0.23883645172405887,0.0,0.003626943005181347,0.3333333333333333,0.0916,0.21454545454545457,0.0,0.20727272727272728,0.18867924528301885,0.036231884057971016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16263,0.6666666666666666,0.5238517459260431,0.4469640000794239,0.5555413902410116,0.35400779630381823,0.4892970085270378,0.0,0.01381692573402418,0.6666666666666666,0.1445,0.12363636363636364,0.0,0.12363636363636364,0.1981132075471698,0.12681159420289856,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3082,0.6666666666666666,0.5006994665994962,0.4469640000794239,0.5555413902410116,0.20236637535091687,0.3617333794402177,0.0,0.0,0.6666666666666666,0.1272,0.1672727272727273,0.0,0.1672727272727273,0.24056603773584903,0.17028985507246377,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16721,1.0,0.5819533352688746,0.427812415149353,0.6224643629702283,0.28895702561653464,0.0,0.1,0.07759067357512953,1.0,0.0846,0.18181818181818182,0.0,0.18181818181818182,0.04716981132075472,0.028985507246376812,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
18676,0.6666666666666666,0.5112696968735566,0.4615381762855212,0.5555413902410116,0.4704247245267063,0.2102207910115168,0.1,0.043782383419689125,0.6666666666666666,0.0738,0.26545454545454544,0.16666666666666666,0.1672727272727273,0.06132075471698113,0.03260869565217391,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
17735,0.6666666666666666,0.5768810291308509,0.5172761666212187,0.5555413902410116,0.3760196411084067,0.11941822586202941,0.5,0.043782383419689125,0.6666666666666666,0.1157,0.2509090909090909,0.16666666666666666,0.05818181818181819,0.05188679245283019,0.25362318840579706,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
