"","X","id","region","regulated_dam","primary_purpose","primary_type","height","length","volume","surface","drainage","spillway","inspection_frequency","distance_to_nearest_city","hazard","assessment","probability_of_failure","dam_repair_loss","damage_loss","business_interruption_loss","age","modification_count","years_from_modification","years_from_inspection","years_from_assessment","one_year_prob"
"22",21,"SOAD07707","Lyndrassia","Yes","Tailings","",NA,NA,NA,2.16503,NA,"",0,NA,"High","Satisfactory",0.1036,120.3,918.2,NA,NA,0,NA,NA,7,0.011495980571617
"23",22,"SOAD10398","Flumevale","No","Other","Rockfill",2.932,0.027,NA,NA,NA,"Uncontrolled",0,NA,"Significant","Not Rated",0.1321,156.2,48.3,NA,126,0,126,13,126,0.0151586686371629
"24",23,"SOAD10407","Lyndrassia","Yes","","",16.57,NA,NA,NA,NA,"Uncontrolled",0,8.69,"High","Satisfactory",0.0927,651.7,425.6,NA,35,0,35,5,5,0.0101597567127634
"25",24,"SOAD10567","Lyndrassia","Yes","","Earth",35.081,NA,NA,NA,NA,"",0,2.35,"Significant","Satisfactory",0.114,230.5,534.4,NA,NA,0,NA,14,14,0.0128022275208246
"26",25,"SOAD10770","Flumevale","No","Fish and Wildlife Pond","Earth",10.525,0.05,NA,NA,NA,"Uncontrolled",1,NA,"High","Not Rated",0.1203,851.5,772.2,NA,150,0,150,5,150,0.0136246838667444
"27",26,"SOAD11005","Navaldia","No","Flood Risk Reduction","Earth",16.88,2.235,2300000,NA,NA,"",0.2,NA,"High","Not Available",0.0615,13.3,621.3,NA,59,0,59,3,59,0.00651400945181112
"28",27,"SOAD11108","Flumevale","No","Flood Risk Reduction","Earth",6.122,0.307,NA,NA,NA,"",0.2,NA,"Significant","Not Available",0.1411,256.9,461.9,NA,20,0,20,7,20,0.016378653157346
"29",28,"SOAD11302","Lyndrassia","Yes","Recreation","Earth",14.782,0.153,NA,0.04925,NA,"Uncontrolled",0,NA,"High","Unsatisfactory",0.1387,30.2,611.4,5.5,29,0,29,29,29,0.0160471829664488
"30",29,"SOAD11500","Lyndrassia","Yes","","Earth",15.276,NA,NA,0.14381,NA,"",0,6.58,"High","Unsatisfactory",0.1316,6.8,320.1,NA,NA,0,NA,NA,NA,0.015091984014203
"31",30,"SOAD12360","Lyndrassia","Yes","Recreation","Earth",16.119,0.4,NA,0.04728,NA,"Uncontrolled",0,0,"High","Unsatisfactory",0.1421,30.9,948.3,6.5,43,0,43,43,43,0.0165139741612925
"32",31,"SOAD12606","Lyndrassia","Yes","Irrigation","Earth",15.807,0.317,NA,0.44916,NA,"Uncontrolled",0.333333333333333,87.32,"High","Not Rated",0.1011,141.8,215.8,26.2,22,0,22,4,22,0.0111867913459098
"33",32,"SOAD12607","Lyndrassia","Yes","Recreation","Earth",17.347,NA,NA,0.06895,NA,"Uncontrolled",0,NA,"High","Unsatisfactory",0.1338,7.6,732.8,4.3,NA,0,NA,NA,NA,0.015386065556094
"34",33,"SOAD12910","Navaldia","Yes","","",NA,NA,NA,NA,NA,"",0.5,NA,"Significant","Unsatisfactory",0.1771,453.8,472.6,NA,NA,0,NA,NA,NA,0.0215440085314052
"35",34,"SOAD13361","Flumevale","No","Debris Control","Timber Crib",12.253,0.138,NA,NA,NA,"Uncontrolled",0,NA,"Significant","Not Rated",0.1454,461.4,341.7,NA,84,1,13,10,84,0.016961256970333
"36",35,"SOAD13714","Lyndrassia","Yes","Recreation","Earth",14.26,0.167,NA,0.06304,NA,"Uncontrolled",0.333333333333333,NA,"High","Unsatisfactory",0.1413,39.5,576.5,3.6,37,0,37,37,37,0.0164056766706038
"37",36,"SOAD14020","Lyndrassia","Yes","Recreation","Earth",13.282,0.145,NA,0.0394,NA,"Uncontrolled",0,21.46,"High","Unsatisfactory",0.1369,17.8,250.2,6.5,NA,0,NA,NA,NA,0.0158033571813642
"38",37,"SOAD14215","Navaldia","Yes","","",NA,NA,NA,NA,5.32658,"",0.5,NA,"Significant","Not Rated",0.1373,68.1,175.4,NA,NA,0,NA,NA,NA,0.0158574447217793
"39",38,"SOAD14437","Navaldia","Yes","","Earth",9.103,0.067,NA,NA,5.32658,"",0.5,NA,"Significant","Fair",0.1439,333.9,179.7,NA,61,0,61,7,61,0.0167588331790934
"40",39,"SOAD14563","Flumevale","No","Other","Rockfill",3.858,0.03,NA,NA,NA,"Uncontrolled",0,NA,"Significant","Not Rated",0.1324,223.3,368.4,NA,126,0,126,13,126,0.0151987224873492
"41",40,"SOAD14661","Lyndrassia","Yes","Recreation","Earth",14.285,NA,NA,0.08668,NA,"",0,NA,"High","Unsatisfactory",0.1388,10,755.7,3.7,NA,0,NA,NA,NA,0.0160607612646838
"42",41,"SOAD14832","Lyndrassia","Yes","Recreation","Earth",13.691,0.225,NA,0.17336,NA,"Uncontrolled",0.333333333333333,NA,"High","Unsatisfactory",0.1534,26,495.2,5.2,23,0,23,23,23,0.018060728188269
"43",42,"SOAD15410","Navaldia","Yes","Other","Earth",NA,NA,NA,NA,10.65316,"",0.5,NA,"Significant","Poor",0.1527,39.4,421.5,NA,NA,0,NA,4,NA,0.0179593421890475
"44",43,"SOAD15761","Lyndrassia","No","Recreation","Earth",40.912,0.162,294000,NA,NA,"Uncontrolled",1,17.39,"High","Satisfactory",0.0874,910.7,208.7,4.1,44,0,44,4,6,0.00952040295153169
"45",44,"SOAD16079","Lyndrassia","Yes","Recreation","Earth",13.32,0.197,NA,0.03349,NA,"Uncontrolled",0,NA,"High","Unsatisfactory",0.1325,15.9,952.6,7.6,NA,0,NA,NA,NA,0.0152120809366562
"46",45,"SOAD16467","Lyndrassia","Yes","Recreation","Earth",13.752,0.15,NA,0.06304,NA,"Uncontrolled",0.333333333333333,NA,"High","Unsatisfactory",0.1381,33.2,932.1,8.7,44,0,44,44,44,0.0159657846035637
"47",46,"SOAD16854","Lyndrassia","Yes","Recreation","Earth",13.08,0.292,NA,0.05516,NA,"Uncontrolled",0,13.52,"High","Unsatisfactory",0.1368,18.2,454.3,6.7,39,0,39,39,39,0.0157898439128843
"48",47,"SOAD17206","Lyndrassia","Yes","Other","Earth",12.642,0.133,NA,0.08077,NA,"Uncontrolled",0.333333333333333,NA,"High","Not Rated",0.0951,27.1,863.9,NA,23,0,23,4,23,0.0104514173254348
"49",48,"SOAD17553","Navaldia","Yes","Recreation","Earth",3.419,NA,NA,NA,2.66329,"",0.5,NA,"Significant","Not Rated",0.1362,271.6,123.8,5.6,NA,0,NA,NA,NA,0.0157088369225691
"50",49,"SOAD17601","Lyndrassia","Yes","Recreation","Earth",14.216,0.175,NA,0.03743,NA,"Uncontrolled",0,1.54,"High","Unsatisfactory",0.1175,12.7,552.7,9.5,13,0,13,13,13,0.0132524949622251
"51",50,"SOAD17642","Lyndrassia","Yes","","",14.396,NA,NA,NA,NA,"",0.333333333333333,9.43,"High","Not Rated",0.0792,939.5,181,NA,7,0,7,3,6,0.00854354376429155
"52",51,"SOAD18020","Lyndrassia","Yes","","Earth",28.472,NA,NA,NA,NA,"",0,2.43,"Significant","Satisfactory",0.1325,375.1,318.3,NA,NA,0,NA,14,14,0.0152120809366562
"53",52,"SOAD18122","Flumevale","No","Other","Earth",13.878,0.073,NA,NA,NA,"Uncontrolled",1,0.16,"High","Not Rated",0.102,925.1,619.9,NA,76,0,76,5,76,0.0112979035156739
"54",53,"SOAD18532","Navaldia","Yes","Recreation","Earth",NA,NA,NA,NA,NA,"",0.5,NA,"Significant","Not Rated",0.1365,429.3,42.4,3,NA,0,NA,NA,NA,0.0157493248373058
"55",54,"SOAD19679","Lyndrassia","Yes","Recreation","Earth",14.637,0.225,NA,0.11426,NA,"Uncontrolled",0.333333333333333,4.94,"High","Not Rated",0.111,30.4,927.7,4.9,NA,1,17,NA,NA,0.012436189491562
"56",55,"SOAD00531","Flumevale","No","Hydroelectric","Concrete",5.452,2.467,NA,NA,NA,"",1,16.83,"Significant","Satisfactory",0.1362,441.6,446,78.2,37,0,37,2,2,0.0157088369225691
"57",56,"SOAD08570","Flumevale","No","","Concrete",3.451,NA,NA,0.00788,NA,"",1,NA,"Significant","Satisfactory",0.1192,8.6,196.4,NA,NA,0,NA,2,2,0.0134772778910379
"58",57,"SOAD09546","Flumevale","No","Hydroelectric","",0.346,NA,NA,NA,NA,"",1,NA,"Significant","Not Available",0.1111,112.7,257.4,NA,37,0,37,5,37,0.0124480524373751
"59",58,"SOAD14594","Navaldia","Yes","Recreation","Earth",2.825,0.067,NA,0.06501,13.31645,"",0.5,NA,"Significant","Poor",0.1398,6.7,235.1,5.2,NA,0,NA,7,NA,0.0161967304961155
"60",59,"SOAD15319","Flumevale","No","Hydroelectric","Rockfill",12.066,NA,NA,NA,35962.40487,"Uncontrolled",1,75.25,"Significant","Satisfactory",0.1101,171.3,216,55.9,60,0,60,2,2,0.0123304549358419
"61",60,"SOAD16049","Navaldia","Yes","Debris Control","Gravity",4.704,0.027,NA,NA,2.66329,"",1,NA,"High","Fair",0.1113,662.4,805.4,NA,59,0,59,5,59,0.0124718475408533
"62",61,"SOAD19425","Flumevale","No","Flood Risk Reduction","Earth",27.419,0.347,220000,0.00788,NA,"",1,6.32,"High","Satisfactory",0.1104,16.4,201.5,NA,54,0,54,2,2,0.0123654941472511
"63",62,"SOAD02827","Navaldia","Yes","Recreation","Earth",3.001,0.163,5550,0.00591,NA,"Uncontrolled",0,NA,"High","Fair",0.0916,40.3,690.1,4.6,NA,0,NA,2,2,0.0100265324166535
"64",63,"SOAD04177","Navaldia","Yes","Flood Risk Reduction","Earth",7.397,0.025,NA,NA,2.66329,"",0.5,NA,"Significant","Satisfactory",0.121,185.5,218.2,NA,26,1,20,7,26,0.0137192564351501
"65",64,"SOAD08152","Navaldia","Yes","","",3.452,0.047,NA,NA,NA,"Uncontrolled",0.2,NA,"High","Fair",0.0753,611,934.6,NA,NA,0,NA,4,4,0.00808418133785762
"66",65,"SOAD10896","Navaldia","Yes","Recreation","Earth",3.556,0.06,NA,0.00394,2.66329,"",0.5,NA,"Significant","Satisfactory",0.1378,28.1,103.3,4.6,52,0,52,8,52,0.0159251314658087
"67",66,"SOAD12764","Lyndrassia","Yes","Flood Risk Reduction","Earth",13.925,0.1,30000,0.00788,NA,"Uncontrolled",0.5,7.74,"High","Satisfactory",0.0905,10.8,129.6,NA,36,1,36,5,18,0.00989358774815694
"68",67,"SOAD17150","Navaldia","Yes","Flood Risk Reduction","Earth",6.819,0.067,NA,NA,NA,"Uncontrolled",0.2,0.16,"High","Fair",0.0985,39.2,851.5,NA,77,0,77,5,4,0.010867004091278
"69",68,"SOAD17354","Navaldia","Yes","","Earth",10.606,0.053,NA,0.02364,NA,"Uncontrolled",0.2,1.67,"Significant","Fair",0.1097,8,865.3,NA,17,0,17,3,3,0.0122840535938506
"70",69,"SOAD02782","Navaldia","Yes","Flood Risk Reduction","Earth",4.227,0.083,NA,0.00591,2.66329,"",0.5,NA,"Significant","Fair",0.1357,47.1,418.9,NA,34,0,34,6,34,0.0156414265424748
"71",70,"SOAD14624","Navaldia","Yes","Flood Risk Reduction","Earth",3.41,0.063,NA,NA,2.66329,"",0.5,NA,"Significant","Fair",0.1433,373.8,255.4,NA,40,0,40,5,40,0.0166770307154823
"72",71,"SOAD15975","Navaldia","No","","Earth",5.836,0.027,NA,0.00394,NA,"Uncontrolled",0,NA,"Significant","Not Rated",0.1649,13.3,322.8,NA,NA,0,NA,16,11,0.0197287039871418
"73",72,"SOAD00979","Lyndrassia","Yes","Recreation","Earth",14.781,0.108,NA,NA,NA,"",0,1.69,"High","",0.1556,479.6,579.1,6.2,29,0,29,29,29,0.0183790074381814
"74",73,"SOAD03833","Flumevale","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",3.977,0.115,2773,0.00788,NA,"Uncontrolled",0.5,11.26,"Significant","Satisfactory",0.1354,39.8,121.9,NA,42,1,29,5,5,0.0156010221399536
"75",74,"SOAD09276","Lyndrassia","Yes","Other","Earth",22.852,0.1,43000,0.00788,NA,"Uncontrolled",0.5,NA,"Significant","Satisfactory",0.114,35.1,293.8,NA,32,1,28,2,18,0.0128022275208246
"76",75,"SOAD13160","Navaldia","Yes","","Earth",2.784,0.133,NA,0.01379,NA,"Uncontrolled",0.5,1.61,"High","Poor",0.1141,36.1,107.1,NA,NA,0,NA,4,3,0.0128147943086673
"77",76,"SOAD14182","Flumevale","No","Tailings","Earth",8.658,0.267,NA,NA,NA,"",0,4.75,"High","Not Available",0.1235,844.9,374.4,NA,NA,0,NA,NA,NA,0.0140005621160142
"78",77,"SOAD14607","Navaldia","No","","Earth",5.355,0.123,NA,0.00788,NA,"Uncontrolled",0,NA,"Significant","Not Rated",0.1451,7.9,446.3,NA,60,0,60,18,11,0.0169229840766031
"79",78,"SOAD15607","Navaldia","Yes","Flood Risk Reduction","Earth",6.12,0.04,NA,NA,2.66329,"",0.5,NA,"Significant","Satisfactory",0.1106,186.3,161.6,NA,33,0,33,6,33,0.0123889676235245
"80",79,"SOAD18799","Navaldia","Yes","Flood Risk Reduction","Earth",3.336,0.123,NA,NA,2.66329,"",1,NA,"High","Satisfactory",0.1017,532.3,925.3,NA,NA,0,NA,5,NA,0.0112608418905424
"81",80,"SOAD01460","Navaldia","Yes","","Earth",9.399,0.133,NA,NA,2.66329,"Uncontrolled",0.5,NA,"High","Poor",0.13,41.8,596.3,NA,77,0,77,5,4,0.0148791989361457
"82",81,"SOAD02312","Flumevale","No","Other","Earth",10.679,0.08,NA,NA,NA,"",0,1.67,"Significant","Not Available",0.1661,306.3,365.5,NA,NA,0,NA,NA,NA,0.0199045108132871
"83",82,"SOAD07202","Navaldia","No","Fire Protection, Stock, Or Small Fish Pond","Earth",4.746,0.11,NA,0.00788,NA,"Uncontrolled",0.2,NA,"Significant","Not Rated",0.0923,19,308.6,NA,35,1,34,16,11,0.0101112789319323
"84",83,"SOAD10724","Navaldia","Yes","","",4.217,0.143,NA,0.00788,NA,"Uncontrolled",0.2,NA,"Significant","Fair",0.1184,7.5,369,NA,4,0,4,4,4,0.0133710307083234
"85",84,"SOAD14722","Navaldia","Yes","Flood Risk Reduction","Earth",3.556,0.053,NA,NA,7.98987,"",1,NA,"High","Satisfactory",0.1039,625.3,716.1,NA,27,0,27,5,27,0.0115331987915306
"86",85,"SOAD20423","Navaldia","Yes","Flood Risk Reduction","Earth",3.25,0.117,NA,NA,2.66329,"",1,NA,"High","Fair",0.096,632.1,897.7,NA,31,0,31,4,31,0.010561147062684
"87",86,"SOAD00063","Navaldia","No","Recreation","Earth",3.509,NA,NA,NA,NA,"",0,NA,"Significant","Not Rated",0.1722,36.1,42.1,5.5,43,0,43,16,11,0.0208092629321342
"88",87,"SOAD01247","Flumevale","No","Water Supply","Earth",7.299,0.253,NA,NA,NA,"",0,1.67,"Significant","Not Available",0.1451,312.7,887.2,47.5,NA,0,NA,NA,NA,0.0169229840766031
"89",88,"SOAD04234","Navaldia","Yes","Flood Risk Reduction","Earth",4.295,0.1,NA,NA,NA,"Uncontrolled",0.2,0,"High","Fair",0.0574,42.9,263.9,NA,77,0,77,5,4,0.00605226411628977
"90",89,"SOAD05848","Navaldia","Yes","Recreation","Earth",4.178,0.067,NA,0.00591,2.66329,"",0.5,NA,"Significant","Poor",0.1479,25,424.5,6.3,52,0,52,8,52,0.0173221756530676
"91",90,"SOAD07932","Lyndrassia","Yes","Other","Earth",14.982,0.07,NA,0.00394,NA,"Uncontrolled",0.5,9.2,"High","Satisfactory",0.1094,9.9,248.4,NA,37,1,37,2,17,0.0122494894073227
"92",91,"SOAD12960","Navaldia","Yes","Water Supply","Earth",6.807,0.067,NA,0.00788,10.65316,"",1,NA,"High","Poor",0.1269,35.4,874.2,17,110,0,110,5,110,0.0144695704060769
"93",92,"SOAD13126","Navaldia","Yes","","",5.159,0.117,NA,0.01773,NA,"Uncontrolled",0.2,NA,"High","Fair",0.0779,37.4,797.4,NA,NA,0,NA,4,4,0.00839004191957572
"94",93,"SOAD20522","Lyndrassia","Yes","Fire Protection, Stock, Or Small Fish Pond","Earth",15.395,0.073,NA,0.00197,NA,"Uncontrolled",0.2,9.51,"Significant","Not Rated",0.1375,28.9,162.5,NA,36,0,36,4,18,0.0158845091285811
"95",94,"SOAD20772","Navaldia","Yes","Flood Risk Reduction","",8.209,0.083,NA,NA,NA,"Uncontrolled",0.2,NA,"High","Fair",0.074,37.9,914.9,NA,91,0,91,5,5,0.00793602807668255
"96",95,"SOAD01504","Navaldia","Yes","","",3.262,0.173,NA,0.01576,NA,"Uncontrolled",0.2,NA,"High","Fair",0.087,26,594.1,NA,NA,0,NA,6,6,0.00947240690597025
"97",96,"SOAD05174","Navaldia","Yes","Flood Risk Reduction","Earth",8.942,0.09,NA,NA,NA,"Uncontrolled",0.2,0.16,"High","Fair",0.0881,27.2,305,NA,NA,0,NA,5,4,0.00960448179229317
"98",97,"SOAD06379","Navaldia","No","","Earth",7.121,0.024,NA,0.00591,NA,"Uncontrolled",0,NA,"Significant","Not Rated",0.111,23.1,392.8,NA,NA,0,NA,16,11,0.012436189491562
"99",98,"SOAD09118","Navaldia","Yes","Recreation","Earth",7.888,0.1,NA,0.02955,23.96961,"Uncontrolled",0.5,NA,"Significant","Satisfactory",0.1212,5.9,71.8,8.3,NA,1,23,5,NA,0.0137463840509122
"100",99,"SOAD10640","Navaldia","Yes","Flood Risk Reduction","Earth",3.884,0.058,4140,0.00788,NA,"Uncontrolled",0.2,NA,"Significant","Fair",0.1218,9.4,124.5,NA,16,0,16,4,3,0.0138280456016203
"101",100,"SOAD11247","Navaldia","Yes","Recreation","Earth",3.242,0.04,NA,0.02167,2.66329,"",0.5,NA,"Significant","Fair",0.1364,6.1,252.1,6,89,0,89,8,89,0.015735825399208
"102",101,"SOAD11707","Navaldia","No","","Earth",5.459,0.039,NA,0.00788,NA,"Uncontrolled",0,NA,"Significant","Not Rated",0.1546,32.1,400.2,NA,NA,0,NA,16,11,0.0182343853107654
"103",102,"SOAD11867","Flumevale","Yes","Water Supply","Earth",4.43,0.083,NA,0.00788,NA,"Uncontrolled",0.5,11.38,"Significant","Fair",0.1314,18.3,151.7,15,26,1,25,12,12,0.0150653353426348
"104",103,"SOAD11892","Flumevale","No","Water Supply","",5.94,0.032,NA,NA,NA,"",0,1.63,"High","Not Available",0.0765,719.6,565.6,15.9,NA,0,NA,NA,NA,0.00822515699221613
"105",104,"SOAD15152","Flumevale","Yes","Flood Risk Reduction","Earth",11.071,0.095,21140,0.00788,NA,"Uncontrolled",1,NA,"High","Fair",0.1114,43.7,816.2,NA,20,0,20,5,5,0.0124837797641466
"106",105,"SOAD15867","Navaldia","Yes","Recreation","Earth",5.156,0.183,NA,0.03349,2.66329,"",1,NA,"High","Fair",0.1167,15.5,887.5,8.2,43,1,23,4,43,0.0131480321228594
"107",106,"SOAD02714","Flumevale","No","Water Supply","Earth",13.753,0.033,NA,NA,NA,"",0,7.67,"High","Not Available",0.1083,672.7,452.4,51.7,NA,0,NA,NA,NA,0.0120634361328234
"108",107,"SOAD03129","Lyndrassia","Yes","","Earth",16.055,0.053,NA,0.00394,NA,"",0,NA,"Significant","Satisfactory",0.1143,37.2,379.4,NA,26,1,26,4,18,0.0128399992892929
"109",108,"SOAD04965","Navaldia","No","","",4.496,0.07,NA,NA,NA,"Uncontrolled",0,NA,"Significant","Fair",0.1312,127.5,319.7,NA,NA,0,NA,3,2,0.0150387010822305
"110",109,"SOAD05372","Flumevale","Yes","Irrigation","Earth",5.634,0.08,3550,0.00788,7.98987,"Uncontrolled",0.5,16.56,"Significant","Fair",0.1503,8.1,260.9,24.6,65,0,65,4,4,0.0176110131103644
"111",110,"SOAD05893","Navaldia","Yes","Other","Earth",7.354,0.048,NA,0.00788,7.98987,"",0.5,NA,"Significant","Not Rated",0.167,17.2,74.7,NA,NA,0,NA,8,NA,0.0200367342700085
"112",111,"SOAD11286","Flumevale","Yes","Recreation","Earth",3.498,0.133,NA,0.00788,7.98987,"Uncontrolled",0.5,1.59,"Significant","Fair",0.1333,11.7,704.8,4.9,59,0,59,3,3,0.0153190771692758
"113",112,"SOAD12488","Navaldia","No","Other","Earth",4.199,0.043,NA,0.00788,NA,"Uncontrolled",0,NA,"Significant","Not Rated",0.1619,44.7,473.7,NA,NA,0,NA,16,11,0.0192913450259292
"114",113,"SOAD18907","Navaldia","Yes","Flood Risk Reduction","Earth",4.068,0.125,NA,NA,2.66329,"",1,NA,"High","Satisfactory",0.085,862.4,828.4,NA,39,0,39,4,39,0.00923295842665988
"115",114,"SOAD00892","Navaldia","Yes","Flood Risk Reduction","Earth",4.974,0.147,NA,NA,2.66329,"",0.5,NA,"Significant","Not Rated",0.1355,310.9,31.4,NA,32,0,32,7,32,0.0156144867813237
"116",115,"SOAD11305","Navaldia","Yes","Recreation","Earth",5.32,0.067,NA,0.00591,7.98987,"",1,NA,"High","Satisfactory",0.0907,42.2,713.7,5.9,NA,0,NA,5,NA,0.00991773886347124
"117",116,"SOAD14530","Navaldia","Yes","Flood Risk Reduction","Earth",3.487,0.16,NA,NA,2.66329,"",0.5,NA,"Significant","Fair",0.1276,388,302.4,NA,46,0,46,6,46,0.0145617617485098
"118",117,"SOAD15004","Navaldia","Yes","Recreation","Earth",6.437,0.05,NA,0.00985,2.66329,"",1,NA,"High","Fair",0.1056,12.8,805.9,7.1,NA,0,NA,4,NA,0.0117445810901662
"119",118,"SOAD15153","Navaldia","Yes","Recreation","Earth",6.847,0.067,NA,0.01182,2.66329,"",0.5,NA,"Significant","Satisfactory",0.1042,43.1,350,8.7,NA,0,NA,8,NA,0.011570442182726
"120",119,"SOAD15297","Navaldia","Yes","Recreation","Earth",3.795,0.037,NA,0.01576,2.66329,"",0.5,NA,"Significant","Fair",0.1444,27.9,276.7,6.6,NA,0,NA,5,NA,0.0168271411073765
"121",120,"SOAD16517","Lyndrassia","No","","Earth",10.489,0.027,NA,0.00591,21.30632,"",0,0,"Significant","Not Rated",0.1392,39.4,287.2,NA,NA,0,NA,NA,NA,0.0161151083714986
"122",121,"SOAD20131","Navaldia","Yes","Recreation","Earth",3.533,0.15,NA,0.01773,NA,"Uncontrolled",0.2,1.61,"High","Not Rated",0.1054,43.2,904.3,4.7,NA,1,34,9,4,0.0117196699116352
"123",122,"SOAD00226","Navaldia","Yes","Flood Risk Reduction","Earth",8.065,0.083,NA,0.00985,NA,"",0.5,NA,"Significant","Satisfactory",0.122,18.4,339.5,NA,60,0,60,7,60,0.0138553575532905
"124",123,"SOAD01190","Navaldia","Yes","Recreation","Earth",5.321,0.133,NA,0.00788,NA,"Uncontrolled",0.2,NA,"High","Not Rated",0.1004,9.5,590,3.1,57,1,50,10,5,0.0111005204704062
"125",124,"SOAD04969","Navaldia","Yes","","",3.854,0.073,NA,0.01773,NA,"Uncontrolled",0.5,NA,"Significant","Unsatisfactory",0.1767,14.6,169.9,NA,NA,0,NA,3,2,0.0214839311340819
